num_posts,num_c_with,num_c,indicator
1,0,0,0.0
0,1,1,inf
5,3,27,0.6
0,0,1,
1,0,5,0.0
1,0,6,0.0
3,1,22,0.3333333333333333
3,0,24,0.0
5,0,12,0.0
3,2,19,0.6666666666666666
1,1,4,1.0
0,0,0,
6,1,39,0.16666666666666666
5,0,36,0.0
0,0,4,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
2,2,16,1.0
2,1,13,0.5
1,0,3,0.0
1,0,4,0.0
2,0,16,0.0
1,0,5,0.0
0,0,1,
1,1,16,1.0
1,0,0,0.0
1,0,2,0.0
0,0,0,
1,0,7,0.0
2,0,13,0.0
1,0,8,0.0
1,0,7,0.0
2,1,10,0.5
2,1,5,0.5
1,0,6,0.0
1,0,2,0.0
1,1,6,1.0
1,0,6,0.0
1,0,2,0.0
3,0,12,0.0
1,0,15,0.0
1,1,5,1.0
0,0,0,
1,0,2,0.0
1,0,10,0.0
1,0,6,0.0
2,0,12,0.0
1,0,7,0.0
0,0,1,
2,0,11,0.0
0,0,0,
2,1,16,0.5
2,0,11,0.0
2,0,0,0.0
2,3,10,1.5
7,2,39,0.2857142857142857
1,1,6,1.0
0,0,2,
6,0,33,0.0
2,1,4,0.5
1,1,10,1.0
3,2,21,0.6666666666666666
1,0,11,0.0
1,3,7,3.0
2,1,5,0.5
1,0,6,0.0
3,2,27,0.6666666666666666
5,0,37,0.0
2,1,11,0.5
3,3,21,1.0
1,0,1,0.0
3,4,40,1.3333333333333333
2,0,5,0.0
3,3,17,1.0
1,0,1,0.0
0,0,0,
2,0,12,0.0
4,0,56,0.0
2,1,11,0.5
3,2,9,0.6666666666666666
4,0,11,0.0
5,1,26,0.2
4,2,14,0.5
8,0,49,0.0
0,0,5,
1,0,4,0.0
4,1,11,0.25
3,0,23,0.0
6,0,34,0.0
1,1,12,1.0
2,0,4,0.0
0,0,1,
1,1,8,1.0
6,1,24,0.16666666666666666
0,0,2,
