num_posts,num_c_with,num_c,indicator,date_num,date
8,4,75,0.5,19239,2022-09-04
10,5,65,0.5,19240,2022-09-05
10,3,54,0.3,19241,2022-09-06
13,8,74,0.6153846153846154,19242,2022-09-07
11,5,81,0.45454545454545453,19243,2022-09-08
9,5,88,0.5555555555555556,19244,2022-09-09
5,3,56,0.6,19245,2022-09-10
4,0,23,0.0,19246,2022-09-11
4,3,47,0.75,19247,2022-09-12
9,6,88,0.6666666666666666,19248,2022-09-13
11,4,80,0.36363636363636365,19249,2022-09-14
17,7,120,0.4117647058823529,19250,2022-09-15
11,7,116,0.6363636363636364,19251,2022-09-16
7,6,74,0.8571428571428571,19252,2022-09-17
9,5,78,0.5555555555555556,19253,2022-09-18
11,2,72,0.18181818181818182,19254,2022-09-19
7,4,64,0.5714285714285714,19255,2022-09-20
11,6,58,0.5454545454545454,19256,2022-09-21
14,11,78,0.7857142857142857,19257,2022-09-22
12,6,52,0.5,19258,2022-09-23
6,6,35,1.0,19259,2022-09-24
10,4,97,0.4,19260,2022-09-25
16,16,148,1.0,19261,2022-09-26
14,7,152,0.5,19262,2022-09-27
25,12,222,0.48,19263,2022-09-28
15,10,144,0.6666666666666666,19264,2022-09-29
25,32,235,1.28,19265,2022-09-30
9,13,123,1.4444444444444444,19266,2022-10-01
10,16,88,1.6,19267,2022-10-02
26,19,202,0.7307692307692307,19268,2022-10-03
20,4,82,0.2,19269,2022-10-04
24,16,155,0.6666666666666666,19270,2022-10-05
29,32,275,1.103448275862069,19271,2022-10-06
18,16,151,0.8888888888888888,19272,2022-10-07
8,13,75,1.625,19273,2022-10-08
7,3,86,0.42857142857142855,19274,2022-10-09
17,6,68,0.35294117647058826,19275,2022-10-10
17,21,228,1.2352941176470589,19276,2022-10-11
14,6,106,0.42857142857142855,19277,2022-10-12
16,7,172,0.4375,19278,2022-10-13
15,7,164,0.4666666666666667,19279,2022-10-14
11,0,85,0.0,19280,2022-10-15
7,1,71,0.14285714285714285,19281,2022-10-16
18,14,168,0.7777777777777778,19282,2022-10-17
13,3,205,0.23076923076923078,19283,2022-10-18
13,13,200,1.0,19284,2022-10-19
17,9,299,0.5294117647058824,19285,2022-10-20
12,9,147,0.75,19286,2022-10-21
16,8,204,0.5,19287,2022-10-22
7,4,105,0.5714285714285714,19288,2022-10-23
12,2,72,0.16666666666666666,19289,2022-10-24
10,3,100,0.3,19290,2022-10-25
7,7,46,1.0,19291,2022-10-26
13,8,126,0.6153846153846154,19292,2022-10-27
21,16,236,0.7619047619047619,19293,2022-10-28
10,3,74,0.3,19294,2022-10-29
9,3,92,0.3333333333333333,19295,2022-10-30
22,19,210,0.8636363636363636,19296,2022-10-31
15,3,90,0.2,19297,2022-11-01
13,3,84,0.23076923076923078,19298,2022-11-02
9,4,94,0.4444444444444444,19299,2022-11-03
8,2,76,0.25,19300,2022-11-04
13,18,131,1.3846153846153846,19301,2022-11-05
14,13,113,0.9285714285714286,19302,2022-11-06
13,11,149,0.8461538461538461,19303,2022-11-07
19,8,193,0.42105263157894735,19304,2022-11-08
12,8,96,0.6666666666666666,19305,2022-11-09
22,17,174,0.7727272727272727,19306,2022-11-10
23,16,165,0.6956521739130435,19307,2022-11-11
10,4,104,0.4,19308,2022-11-12
9,20,108,2.2222222222222223,19309,2022-11-13
40,40,431,1.0,19310,2022-11-14
22,8,136,0.36363636363636365,19311,2022-11-15
14,8,124,0.5714285714285714,19312,2022-11-16
11,9,145,0.8181818181818182,19313,2022-11-17
26,10,201,0.38461538461538464,19314,2022-11-18
12,6,107,0.5,19315,2022-11-19
2,2,19,1.0,19316,2022-11-20
16,10,141,0.625,19317,2022-11-21
19,15,135,0.7894736842105263,19318,2022-11-22
23,11,289,0.4782608695652174,19319,2022-11-23
17,17,213,1.0,19320,2022-11-24
13,13,140,1.0,19321,2022-11-25
10,4,92,0.4,19322,2022-11-26
15,6,107,0.4,19323,2022-11-27
34,27,250,0.7941176470588235,19324,2022-11-28
23,16,211,0.6956521739130435,19325,2022-11-29
17,7,149,0.4117647058823529,19326,2022-11-30
11,7,97,0.6363636363636364,19327,2022-12-01
23,14,170,0.6086956521739131,19328,2022-12-02
20,10,179,0.5,19329,2022-12-03
13,4,129,0.3076923076923077,19330,2022-12-04
